# ACTS Test Suite Generation: Wed May 05 21:39:31 CEST 2021
#  * represents don't care value 

# Degree of interaction coverage: 1
# Number of parameters: 6
# Maximum number of values per parameter: 4
# Number of configurations: 60
# Number of extended configurations: 0
# ****************************************************
P1,P5,P3,P4,P6,P2
0,0,0,0,0,0
0,0,1,1,1,1
0,0,2,2,2,0
0,1,0,1,2,1
0,1,1,0,0,1
0,1,2,0,1,0
0,2,0,2,1,1
0,2,1,0,2,0
0,2,2,1,0,0
0,3,0,0,1,1
0,3,1,2,0,0
0,3,2,1,2,1
1,0,0,1,0,1
1,0,1,0,1,0
1,0,2,0,2,1
1,1,0,0,2,0
1,1,1,1,0,0
1,1,2,2,0,1
1,2,0,0,0,1
1,2,1,2,2,1
1,2,2,1,1,0
1,3,0,2,1,0
1,3,1,0,2,0
1,3,2,0,0,1
2,0,0,2,0,1
2,0,1,0,2,0
2,0,2,1,1,0
2,1,0,0,1,1
2,1,1,2,1,0
2,1,2,1,2,1
2,2,0,1,2,0
2,2,1,1,0,1
2,2,2,0,0,0
2,3,0,1,0,0
2,3,1,0,1,1
2,3,2,2,2,0
3,0,0,0,1,0
3,0,1,2,0,1
3,0,2,1,2,0
3,1,0,2,2,1
3,1,1,0,2,0
3,1,2,0,0,1
3,2,0,1,0,0
3,2,1,0,1,1
3,2,2,2,1,0
3,3,0,0,2,0
3,3,1,1,1,1
3,3,2,2,0,1
0,1,0,2,0,0
1,0,*,2,1,1
1,3,1,1,2,0
2,2,*,2,0,0
3,1,0,1,1,0
*,0,0,*,2,0
*,0,2,*,0,0
3,2,2,*,2,1
*,3,2,*,1,1
1,1,*,*,1,0
2,1,*,*,0,0
2,2,*,*,1,0
