# ACTS Test Suite Generation: Sun May 09 17:42:41 CEST 2021
#  * represents don't care value 

# Degree of interaction coverage: 1
# Number of parameters: 5
# Maximum number of values per parameter: 4
# Number of configurations: 40
# Number of extended configurations: 0
# ****************************************************
P4,P1,P3,P5,P2
0,0,0,0,0
0,0,1,1,1
0,0,2,2,0
0,1,0,1,0
0,1,1,0,1
0,1,2,0,0
0,2,0,2,1
0,2,1,0,0
0,2,2,1,1
1,0,0,1,1
1,0,1,0,0
1,0,2,0,1
1,1,0,0,1
1,1,1,1,0
1,1,2,2,1
1,2,0,0,0
1,2,1,2,1
1,2,2,1,0
2,0,0,2,0
2,0,1,0,1
2,0,2,1,0
2,1,0,0,0
2,1,1,2,0
2,1,2,1,1
2,2,0,1,1
2,2,1,1,0
2,2,2,0,1
3,0,0,0,0
3,0,1,2,1
3,0,2,1,0
3,1,0,2,0
3,1,1,0,1
3,1,2,0,1
3,2,0,1,1
3,2,1,0,0
3,2,2,2,0
0,1,1,2,0
1,0,0,2,0
2,2,2,2,1
3,1,1,1,0
