[Parameter]
P4 (int) : 0 ,1 ,2 ,3  
P1 (int) : 0 ,1 ,2  
P3 (int) : 0 ,1 ,2  
P5 (int) : 0 ,1 ,2  
P2 (int) : 0 ,1  

[Test Set]
P4 ,P1 ,P3 ,P5 ,P2 
0,0,0,0,0
0,0,1,1,1
0,0,2,2,0
0,1,0,1,0
0,1,1,0,1
0,1,2,0,0
0,2,0,2,1
0,2,1,0,0
0,2,2,1,1
1,0,0,1,1
1,0,1,0,0
1,0,2,0,1
1,1,0,0,1
1,1,1,1,0
1,1,2,2,1
1,2,0,0,0
1,2,1,2,1
1,2,2,1,0
2,0,0,2,0
2,0,1,0,1
2,0,2,1,0
2,1,0,0,0
2,1,1,2,0
2,1,2,1,1
2,2,0,1,1
2,2,1,1,0
2,2,2,0,1
3,0,0,0,0
3,0,1,2,1
3,0,2,1,0
3,1,0,2,0
3,1,1,0,1
3,1,2,0,1
3,2,0,1,1
3,2,1,0,0
3,2,2,2,0
0,1,1,2,0
1,0,0,2,0
2,2,2,2,1
3,1,1,1,0
